item_code,item_category,item_sub_department,item_department
1071340,Accessories,Baby Needs,Household
4813,Household Polishes,General Needs,Household
983590,Facial Cleansing,Facial Care,Household
16927,Pet Food,Pet Care,Household
925540,Party Accessories,Party Ware,Household
756799,Skin Care,Toiletries Men,Household
87991,Conditioners,Hair Care,Household
108178,Shampoo,Hair Care,Household
1040038,Ambient Liquid Milk,Milk & Creamers,Beverages
134710,Fat Spread,Spreads,Chilled
1078837,Fat Spread,Spreads,Chilled
1027843,Drinking Yogurt,Yoghurt,Chilled
1043953,Spices,Seasoning & Coconut Cream,Grocery
1104550,Spices,Seasoning & Coconut Cream,Grocery
39913,Rice,Pulses,Grocery
405844,Canned Fish,Processed/Preserved Fish,Grocery
1034557,Canned Fish,Processed/Preserved Fish,Grocery
135970,Baby Milk Powder,Baby Foods,Grocery
839536,Cereals,Baby Foods,Grocery
30868,Sweet Biscuits & Cookies  Regular,Biscuits,Grocery
102805,Sweet Biscuits & Cookies  Regular,Biscuits,Grocery
1114981,Crackers,Biscuits,Grocery
136744,Single Consumption Chocolates,Confectionery,Grocery
384460,Sugar Confectionary,Confectionery,Grocery
1081159,Sugar Confectionary,Confectionery,Grocery
1095586,Sugar Confectionary,Confectionery,Grocery
12661,Sugar Confectionary,Confectionery,Grocery
120265,Local,Confectionery,Grocery
865852,Pasta,Sauce,Grocery
829528,Pork,Processed/Preserved Meat,Grocery
851245,Canned Vegetables,Processed / Preserved Vegetables,Grocery
1077640,Dessert Pre-Mixes,Desserts,Grocery
397186,Dessert Pre-Mixes,Desserts,Grocery
273337,Ambient Dessert Syrups & Toppings,Desserts,Grocery
898567,Ambient Dessert Syrups & Toppings,Desserts,Grocery
231550,Liquid Cooking Oils & Fats,Oils/Fats,Grocery
707011,Dehydrated,Processed/Preserved Fruits,Grocery
385387,Dried Fruit,Processed/Preserved Fruits,Grocery
1071376,"Snack-Nuts,Peas & Mixes",Snacks,Grocery
1119985,Snack-Crisps & Chips,Snacks,Grocery
999871,Deodorants,Female Fragrance,Household
376387,Perfumes,Female Fragrance,Household
271888,Body Lotions,Hand & Body Care,Household
218383,Hand Cleansing,Hand & Body Care,Household
29266,Face/Complexion Cosmetics,Cosmetics,Household
